speciesId	species	n_bulk_libraries	n_sc_libraries	n_total_libraries
7038	bemisia_tabaci_asiaii5	20	0	20
7070	tribolium_castaneum	20	0	20
7291	drosophila_albomicans	20	0	20
34839	chinchilla_lanigera	19	0	19
8855	cairina_moschata_domestica	19	0	19
99883	tetraodon_nigroviridis	19	0	19
42062	drosophila_nasuta	18	0	18
30538	vicugna_pacos	17	0	17
40157	lonchura_striata_domestica	17	0	17
41447	seriola_dumerili	17	0	17
7868	callorhinchus_milii	17	0	17
9089	chrysolophus_pictus	17	0	17
308060	apteryx_rowi	16	0	16
7226	drosophila_mauritiana	16	0	16
7653	lytechinus_pictus	16	0	16
31033	takifugu_rubripes	15	0	15
8824	apteryx_owenii	15	0	15
9694	panthera_tigris_altaica	10	5	15
7574	lingula_anatina	14	0	14
7897	latimeria_chalumnae	14	0	14
6706	homarus_americanus	13	0	13
400727	pomacea_canaliculata	12	0	12
9371	echinops_telfairi	12	0	12
123683	oryzias_javanicus	11	0	11
9601	pongo_abelii	11	0	11
113334	melitaea_cinxia	10	0	10
135651	caenorhabditis_brenneri	10	0	10
33528	gambusia_affinis	10	0	10
37623	ostrea_edulis	10	0	10
42514	pygocentrus_nattereri	10	0	10
7175	culex_pipiens	10	0	10
8673	pseudonaja_textilis	10	0	10
9704	zalophus_californianus	10	0	10
9755	physeter_catodon	10	0	10
183150	oryzias_sinensis	9	0	9
9785	loxodonta_africana	9	0	9
27679	saimiri_boliviensis_boliviensis	8	0	8
47314	drosophila_novamexicana	8	0	8
9689	panthera_leo	7	0	7
121225	pediculus_humanus	6	0	6
30464	nothoprocta_perdicaria	6	0	6
7998	ictalurus_punctatus	6	0	6
88925	lineus_longissimus	6	0	6
9365	erinaceus_europaeus	6	0	6
30033	drosophila_kikkawai	5	0	5
30611	otolemur_garnettii	5	0	5
37548	cavia_aperea	5	0	5
42026	drosophila_bipectinata	5	0	5
7515	ctenocephalides_felis	5	0	5
8962	aquila_chrysaetos_chrysaetos	5	0	5
125945	drosophila_biarmipes	4	0	4
29030	drosophila_takahashii	4	0	4
